date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
17.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
18.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
19.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
20.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
21.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
22.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
23.06.20;Berlin;moderate;moderate;open;open;partially open;partially open;open;open
24.06.20;Berlin;moderate;light;open;open;partially open;partially open;open;open
25.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
26.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
27.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
28.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
29.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
30.06.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
01.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
02.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
03.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
04.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
05.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
06.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
07.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
08.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
09.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
10.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
11.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
12.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
13.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
14.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
15.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
16.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
17.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
18.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
19.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
20.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
21.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
22.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
23.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
24.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
25.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
26.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
27.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
28.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
29.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
30.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
31.07.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
01.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
02.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
03.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
04.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
05.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
06.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
07.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
08.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
09.08.20;Berlin;moderate;light;open;open;holidays;partially open;open;open
10.08.20;Berlin;moderate;light;open;open;open;open;open;open
11.08.20;Berlin;moderate;light;open;open;open;open;open;open
12.08.20;Berlin;moderate;light;open;open;open;open;open;open
13.08.20;Berlin;moderate;light;open;open;open;open;open;open
14.08.20;Berlin;moderate;light;open;open;open;open;open;open
15.08.20;Berlin;moderate;light;open;open;open;open;open;open
16.08.20;Berlin;moderate;light;open;open;open;open;open;open
17.08.20;Berlin;moderate;light;open;open;open;open;open;open
18.08.20;Berlin;moderate;light;open;open;open;open;open;open
19.08.20;Berlin;moderate;light;open;open;open;open;open;open
20.08.20;Berlin;moderate;light;open;open;open;open;open;open
21.08.20;Berlin;moderate;light;open;open;open;open;open;open
22.08.20;Berlin;moderate;light;open;open;open;open;open;open
23.08.20;Berlin;moderate;light;open;open;open;open;open;open
24.08.20;Berlin;moderate;light;open;open;open;open;open;open
25.08.20;Berlin;moderate;light;open;open;open;open;open;open
26.08.20;Berlin;moderate;light;open;open;open;open;open;open
27.08.20;Berlin;moderate;light;open;open;open;open;open;open
28.08.20;Berlin;moderate;light;open;open;open;open;open;open
29.08.20;Berlin;moderate;light;open;open;open;open;open;open
30.08.20;Berlin;moderate;light;open;open;open;open;open;open
31.08.20;Berlin;moderate;light;open;open;open;open;open;open
01.09.20;Berlin;moderate;light;open;open;open;open;open;open
02.09.20;Berlin;moderate;light;open;open;open;open;open;open
03.09.20;Berlin;moderate;light;open;open;open;open;open;open
04.09.20;Berlin;moderate;light;open;open;open;open;open;open
05.09.20;Berlin;moderate;light;open;open;open;open;open;open
06.09.20;Berlin;moderate;light;open;open;open;open;open;open
07.09.20;Berlin;moderate;light;open;open;open;open;open;open
08.09.20;Berlin;moderate;light;open;open;open;open;open;open
09.09.20;Berlin;moderate;light;open;open;open;open;open;open
10.09.20;Berlin;moderate;light;open;open;open;open;open;open
11.09.20;Berlin;moderate;light;open;open;open;open;open;open
12.09.20;Berlin;moderate;light;open;open;open;open;open;open
13.09.20;Berlin;moderate;light;open;open;open;open;open;open
14.09.20;Berlin;moderate;light;open;open;open;open;open;open
15.09.20;Berlin;moderate;light;open;open;open;open;open;open
16.09.20;Berlin;moderate;light;open;open;open;open;open;open
17.09.20;Berlin;moderate;light;open;open;open;open;open;open
18.09.20;Berlin;moderate;light;open;open;open;open;open;open
