date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
2020-07-03;Berlin;2;1;0;0;2;1;0;0
2020-07-04;Berlin;2;1;0;0;2;1;0;0
2020-07-05;Berlin;2;1;0;0;2;1;0;0
2020-07-06;Berlin;2;1;0;0;2;1;0;0
2020-07-07;Berlin;2;1;0;0;2;1;0;0
2020-07-08;Berlin;2;1;0;0;2;1;0;0
2020-07-09;Berlin;2;1;0;0;2;1;0;0
2020-07-10;Berlin;2;1;0;0;2;1;0;0
2020-07-11;Berlin;2;1;0;0;2;1;0;0
2020-07-12;Berlin;2;1;0;0;2;1;0;0
2020-07-13;Berlin;2;1;0;0;2;1;0;0
2020-07-14;Berlin;2;1;0;0;2;1;0;0
2020-07-15;Berlin;2;1;0;0;2;1;0;0
2020-07-16;Berlin;2;1;0;0;2;1;0;0
2020-07-17;Berlin;2;1;0;0;2;1;0;0
2020-07-18;Berlin;2;1;0;0;2;1;0;0
2020-07-19;Berlin;2;1;0;0;2;1;0;0
2020-07-20;Berlin;2;1;0;0;2;1;0;0
2020-07-21;Berlin;2;1;0;0;2;1;0;0
2020-07-22;Berlin;2;1;0;0;2;1;0;0
2020-07-23;Berlin;2;1;0;0;2;1;0;0
2020-07-24;Berlin;2;1;0;0;2;1;0;0
2020-07-25;Berlin;2;1;0;0;2;1;0;0
2020-07-26;Berlin;2;1;0;0;2;1;0;0
2020-07-27;Berlin;2;1;0;0;2;1;0;0
2020-07-28;Berlin;2;1;0;0;2;1;0;0
2020-07-29;Berlin;2;1;0;0;2;1;0;0
2020-07-30;Berlin;2;1;0;0;2;1;0;0
2020-07-31;Berlin;2;1;0;0;2;1;0;0
2020-08-01;Berlin;2;1;0;0;2;1;0;0
2020-08-02;Berlin;2;1;0;0;2;1;0;0
2020-08-03;Berlin;2;1;0;0;2;1;0;0
2020-08-04;Berlin;2;1;0;0;2;1;0;0
2020-08-05;Berlin;2;1;0;0;2;1;0;0
2020-08-06;Berlin;2;1;0;0;2;1;0;0
2020-08-07;Berlin;2;1;0;0;2;1;0;0
2020-08-08;Berlin;2;1;0;0;2;1;0;0
2020-08-09;Berlin;2;1;0;0;2;1;0;0
2020-08-10;Berlin;2;1;0;0;0;0;0;0
2020-08-11;Berlin;2;1;0;0;0;0;0;0
2020-08-12;Berlin;2;1;0;0;0;0;0;0
2020-08-13;Berlin;2;1;0;0;0;0;0;0
2020-08-14;Berlin;2;1;0;0;0;0;0;0
2020-08-15;Berlin;2;1;0;0;0;0;0;0
2020-08-16;Berlin;2;1;0;0;0;0;0;0
2020-08-17;Berlin;2;1;0;0;0;0;0;0
2020-08-18;Berlin;2;1;0;0;0;0;0;0
2020-08-19;Berlin;2;1;0;0;0;0;0;0
2020-08-20;Berlin;2;1;0;0;0;0;0;0
2020-08-21;Berlin;2;1;0;0;0;0;0;0
2020-08-22;Berlin;2;1;0;0;0;0;0;0
2020-08-23;Berlin;2;1;0;0;0;0;0;0
2020-08-24;Berlin;2;1;0;0;0;0;0;0
2020-08-25;Berlin;2;1;0;0;0;0;0;0
2020-08-26;Berlin;2;1;0;0;0;0;0;0
2020-08-27;Berlin;2;1;0;0;0;0;0;0
2020-08-28;Berlin;2;1;0;0;0;0;0;0
2020-08-29;Berlin;2;1;0;0;0;0;0;0
2020-08-30;Berlin;2;1;0;0;0;0;0;0
2020-08-31;Berlin;2;1;0;0;0;0;0;0
2020-09-01;Berlin;2;1;0;0;0;0;0;0
2020-09-02;Berlin;2;1;0;0;0;0;0;0
2020-09-03;Berlin;2;1;0;0;0;0;0;0
2020-09-04;Berlin;2;1;0;0;0;0;0;0
2020-09-05;Berlin;2;1;0;0;0;0;0;0
2020-09-06;Berlin;2;1;0;0;0;0;0;0
2020-09-07;Berlin;2;1;0;0;0;0;0;0
2020-09-08;Berlin;2;1;0;0;0;0;0;0
2020-09-09;Berlin;2;1;0;0;0;0;0;0
2020-09-10;Berlin;2;1;0;0;0;0;0;0
2020-09-11;Berlin;2;1;0;0;0;0;0;0
2020-09-12;Berlin;2;1;0;0;0;0;0;0
2020-09-13;Berlin;2;1;0;0;0;0;0;0
2020-09-14;Berlin;2;1;0;0;0;0;0;0
2020-09-15;Berlin;2;1;0;0;0;0;0;0
2020-09-16;Berlin;2;1;0;0;0;0;0;0
2020-09-17;Berlin;2;1;0;0;0;0;0;0
2020-09-18;Berlin;2;1;0;0;0;0;0;0
2020-09-19;Berlin;2;1;0;0;0;0;0;0
2020-09-20;Berlin;2;1;0;0;0;0;0;0
2020-09-21;Berlin;2;1;0;0;0;0;0;0
2020-09-22;Berlin;2;1;0;0;0;0;0;0
2020-09-23;Berlin;2;1;0;0;0;0;0;0
2020-09-24;Berlin;2;1;0;0;0;0;0;0
2020-09-25;Berlin;2;1;0;0;0;0;0;0
2020-09-26;Berlin;2;1;0;0;0;0;0;0
2020-09-27;Berlin;2;1;0;0;0;0;0;0
2020-09-28;Berlin;2;1;0;0;0;0;0;0
2020-09-29;Berlin;2;1;0;0;0;0;0;0
2020-09-30;Berlin;2;1;0;0;0;0;0;0
2020-10-01;Berlin;2;1;0;0;0;0;0;0
2020-10-02;Berlin;2;1;0;0;0;0;0;0
2020-10-03;Berlin;2;1;0;0;0;0;0;0
2020-10-04;Berlin;2;1;0;0;0;0;0;0
2020-10-05;Berlin;2;1;0;0;0;0;0;0
2020-10-06;Berlin;2;1;0;0;0;0;0;0
2020-10-07;Berlin;2;1;0;0;0;0;0;0
2020-10-08;Berlin;2;1;0;0;0;0;0;0
2020-10-09;Berlin;2;1;0;0;0;0;0;0
2020-10-10;Berlin;2;1;0;0;0;0;0;0
2020-10-11;Berlin;2;2;0;0;0;0;0;0
2020-10-12;Berlin;2;2;0;0;0;0;0;0
2020-10-13;Berlin;2;2;0;0;0;0;0;0
2020-10-14;Berlin;2;2;0;0;0;0;0;0
2020-10-15;Berlin;2;2;0;0;0;0;0;0
2020-10-16;Berlin;2;2;0;0;0;0;0;0
2020-10-17;Berlin;2;2;0;0;0;0;0;0
2020-10-18;Berlin;2;2;0;0;0;0;0;0
2020-10-19;Berlin;2;2;0;0;0;0;0;0
2020-10-20;Berlin;2;2;0;0;0;0;0;0
2020-10-21;Berlin;2;2;0;0;0;0;0;0
2020-10-22;Berlin;2;2;0;0;0;0;0;0
2020-10-23;Berlin;2;2;0;0;0;0;0;0
2020-10-24;Berlin;2;2;0;0;0;0;0;0
2020-10-25;Berlin;2;2;0;0;0;0;0;0
2020-10-26;Berlin;2;2;0;0;0;0;0;0
2020-10-27;Berlin;2;2;0;0;0;0;0;0
2020-10-28;Berlin;2;2;0;0;0;0;0;0
2020-10-29;Berlin;2;2;0;0;0;0;0;0
2020-10-30;Berlin;2;2;0;0;0;0;0;0
2020-10-31;Berlin;2;2;0;0;0;0;0;0
2020-11-01;Berlin;2;2;0;0;0;0;0;0
2020-11-02;Berlin;2;3;2;0;0;0;0;2
2020-11-03;Berlin;2;3;2;0;0;0;0;2
2020-11-04;Berlin;2;3;2;0;0;0;0;2
2020-11-05;Berlin;2;3;2;0;0;0;0;2
2020-11-06;Berlin;2;3;2;0;0;0;0;2
2020-11-07;Berlin;2;3;2;0;0;0;0;2
2020-11-08;Berlin;2;3;2;0;0;0;0;2
2020-11-09;Berlin;2;3;2;0;0;0;0;2
2020-11-10;Berlin;2;3;2;0;0;0;0;2
2020-11-11;Berlin;2;3;2;0;0;0;0;2
2020-11-12;Berlin;2;3;2;0;0;0;0;2
2020-11-13;Berlin;2;3;2;0;0;0;0;2
2020-11-14;Berlin;2;3;2;0;0;0;0;2
2020-11-15;Berlin;2;3;2;0;0;0;0;2
2020-11-16;Berlin;2;3;2;0;0;0;0;2
2020-11-17;Berlin;2;3;2;0;0;0;0;2
2020-11-18;Berlin;2;3;2;0;0;0;0;2
2020-11-19;Berlin;2;3;2;0;0;0;2;2
2020-11-20;Berlin;2;3;2;0;0;0;2;2
2020-11-21;Berlin;3;3;2;0;0;0;2;2
2020-11-22;Berlin;3;3;2;0;0;0;2;2
2020-11-23;Berlin;3;3;2;0;0;0;2;2
2020-11-24;Berlin;3;3;2;0;0;0;2;2
2020-11-25;Berlin;3;3;2;0;0;0;2;2
2020-11-26;Berlin;3;3;2;0;0;0;2;2
2020-11-27;Berlin;3;3;2;0;0;0;2;2
2020-11-28;Berlin;3;3;2;0;0;0;2;2
2020-11-29;Berlin;3;3;2;0;0;0;2;2
2020-11-30;Berlin;3;3;2;0;0;0;2;2
2020-12-01;Berlin;3;3;2;0;0;0;2;2
2020-12-02;Berlin;3;3;2;0;0;0;2;2
2020-12-03;Berlin;3;3;2;0;0;0;2;2
2020-12-04;Berlin;3;3;2;0;0;0;2;2
2020-12-05;Berlin;3;3;2;0;0;0;2;2
2020-12-06;Berlin;3;3;2;0;0;0;2;2
2020-12-07;Berlin;3;3;2;0;0;0;2;2
2020-12-08;Berlin;3;3;2;0;0;0;2;2
2020-12-09;Berlin;3;3;2;0;0;0;2;2
2020-12-10;Berlin;3;3;2;0;0;0;2;2
2020-12-11;Berlin;3;3;2;0;0;0;2;2
2020-12-12;Berlin;3;3;2;0;0;0;2;2
2020-12-13;Berlin;3;3;2;0;0;0;2;2
2020-12-14;Berlin;3;3;2;0;0;0;2;2
2020-12-15;Berlin;3;3;2;2;0;0;2;2
2020-12-16;Berlin;3;3;2;2;2;2;2;2
2020-12-17;Berlin;3;3;2;2;2;2;2;2
2020-12-18;Berlin;3;3;2;2;2;2;2;2
2020-12-19;Berlin;3;3;2;2;2;2;2;2
2020-12-20;Berlin;3;3;2;2;2;2;2;2
2020-12-21;Berlin;3;3;2;2;2;2;2;2
2020-12-22;Berlin;3;3;2;2;2;2;2;2
2020-12-23;Berlin;3;3;2;2;2;2;2;2
2020-12-24;Berlin;3;3;2;2;2;2;2;2
2020-12-25;Berlin;3;3;2;2;2;2;2;2
2020-12-26;Berlin;3;3;2;2;2;2;2;2
2020-12-27;Berlin;3;3;2;2;2;2;2;2
2020-12-28;Berlin;3;3;2;2;2;2;2;2
2020-12-29;Berlin;3;3;2;2;2;2;2;2
2020-12-30;Berlin;3;3;2;2;2;2;2;2
2020-12-31;Berlin;3;3;2;2;2;2;2;2
2021-01-01;Berlin;3;3;2;2;2;2;2;2
2021-01-02;Berlin;3;3;2;2;2;2;2;2
2021-01-03;Berlin;3;3;2;2;2;2;2;2
2021-01-04;Berlin;3;3;2;2;2;2;2;2
2021-01-05;Berlin;3;3;2;2;2;2;2;2
2021-01-06;Berlin;3;3;2;2;2;2;2;2
2021-01-07;Berlin;3;3;2;2;2;2;2;2
2021-01-08;Berlin;3;3;2;2;2;2;2;2
2021-01-09;Berlin;3;3;2;2;2;2;2;2
2021-01-10;Berlin;3;3;2;2;2;2;2;2
2021-01-11;Berlin;3;3;2;2;2;2;2;2
2021-01-12;Berlin;3;3;2;2;2;2;2;2
2021-01-13;Berlin;3;3;2;2;2;2;2;2
2021-01-14;Berlin;3;3;2;2;2;2;2;2
2021-01-15;Berlin;3;3;2;2;2;2;2;2
2021-01-16;Berlin;3;3;2;2;2;2;2;2
2021-01-17;Berlin;3;3;2;2;2;2;2;2
2021-01-18;Berlin;3;3;2;2;2;2;2;2
2021-01-19;Berlin;3;3;2;2;2;2;2;2
2021-01-20;Berlin;3;3;2;2;2;2;2;2
2021-01-21;Berlin;3;3;2;2;2;2;2;2
2021-01-22;Berlin;3;3;2;2;2;2;2;2
2021-01-23;Berlin;3;3;2;2;2;2;2;2
2021-01-24;Berlin;3;3;2;2;2;2;2;2
2021-01-25;Berlin;3;3;2;2;2;2;2;2
2021-01-26;Berlin;3;3;2;2;2;2;2;2
2021-01-27;Berlin;3;3;2;2;2;2;2;2
2021-01-28;Berlin;3;3;2;2;2;2;2;2
2021-01-29;Berlin;3;3;2;2;2;2;2;2
2021-01-30;Berlin;3;3;2;2;2;2;2;2
2021-01-31;Berlin;3;3;2;2;2;2;2;2
2021-02-01;Berlin;3;3;2;2;2;2;2;2
2021-02-02;Berlin;3;3;2;2;2;2;2;2
2021-02-03;Berlin;3;3;2;2;2;2;2;2
2021-02-04;Berlin;3;3;2;2;2;2;2;2
2021-02-05;Berlin;3;3;2;2;2;2;2;2
2021-02-06;Berlin;3;3;2;2;2;2;2;2
2021-02-07;Berlin;3;3;2;2;2;2;2;2
2021-02-08;Berlin;3;3;2;2;2;2;2;2
2021-02-09;Berlin;3;3;2;2;2;2;2;2
2021-02-10;Berlin;3;3;2;2;2;2;2;2
2021-02-11;Berlin;3;3;2;2;2;2;2;2
2021-02-12;Berlin;3;3;2;2;2;2;2;2
2021-02-13;Berlin;3;3;2;2;2;2;2;2
2021-02-14;Berlin;3;3;2;2;2;2;2;2
2021-02-15;Berlin;3;3;2;2;2;2;2;2
2021-02-16;Berlin;3;3;2;2;2;2;2;2
2021-02-17;Berlin;3;3;2;2;2;2;2;2
