date;temperature
01.03.20;6
01.04.20;12
01.05.20;14
01.06.20;17
01.07.20;20
01.08.20;20
01.09.20;16
01.10.20;10
01.11.20;5
01.12.20;2
01.01.21;1
01.02.21;3
01.03.21;5
01.04.21;8
01.05.21;11
